review,sentiment,tokenized_review,lemmatized_review
wow loved place,positive,"['wow', 'loved', 'place']",wow loved place
crust not good,negative,"['crust', 'not', 'good']",crust not good
not tasty texture nasty,negative,"['not', 'tasty', 'texture', 'nasty']",not tasty texture nasty
stopped late may bank holiday rick steve recommendation loved,positive,"['stopped', 'late', 'may', 'bank', 'holiday', 'rick', 'steve', 'recommendation', 'loved']",stopped late may bank holiday rick steve recommendation loved
selection menu great prices,positive,"['selection', 'menu', 'great', 'prices']",selection menu great price
getting angry want damn pho,negative,"['getting', 'angry', 'want', 'damn', 'pho']",getting angry want damn pho
honeslty not taste fresh,negative,"['honeslty', 'not', 'taste', 'fresh']",honeslty not taste fresh
potatoes like rubber could tell made ahead time kept warmer,negative,"['potatoes', 'like', 'rubber', 'could', 'tell', 'made', 'ahead', 'time', 'kept', 'warmer']",potato like rubber could tell made ahead time kept warmer
fries great,positive,"['fries', 'great']",fry great
great touch,positive,"['great', 'touch']",great touch
service prompt,positive,"['service', 'prompt']",service prompt
would not go back,negative,"['would', 'not', 'go', 'back']",would not go back
cashier no care ever say still ended wayyy overpriced,negative,"['cashier', 'no', 'care', 'ever', 'say', 'still', 'ended', 'wayyy', 'overpriced']",cashier no care ever say still ended wayyy overpriced
tried cape cod ravoli chicken cranberrymmmm,positive,"['tried', 'cape', 'cod', 'ravoli', 'chicken', 'cranberrymmmm']",tried cape cod ravoli chicken cranberrymmmm
disgusted pretty sure human hair,negative,"['disgusted', 'pretty', 'sure', 'human', 'hair']",disgusted pretty sure human hair
shocked no signs indicate cash,negative,"['shocked', 'no', 'signs', 'indicate', 'cash']",shocked no sign indicate cash
highly recommended,positive,"['highly', 'recommended']",highly recommended
waitress little slow service,negative,"['waitress', 'little', 'slow', 'service']",waitress little slow service
place not worth time let alone vegas,negative,"['place', 'not', 'worth', 'time', 'let', 'alone', 'vegas']",place not worth time let alone vega
not like,negative,"['not', 'like']",not like
burrittos blah,negative,"['burrittos', 'blah']",burrittos blah
food amazing,positive,"['food', 'amazing']",food amazing
service also cute,positive,"['service', 'also', 'cute']",service also cute
could care less interior beautiful,positive,"['could', 'care', 'less', 'interior', 'beautiful']",could care less interior beautiful
performed,positive,['performed'],performed
rightthe red velvet cakeohhh stuff good,positive,"['rightthe', 'red', 'velvet', 'cakeohhh', 'stuff', 'good']",rightthe red velvet cakeohhh stuff good
never brought salad asked,negative,"['never', 'brought', 'salad', 'asked']",never brought salad asked
hole wall great mexican street tacos friendly staff,positive,"['hole', 'wall', 'great', 'mexican', 'street', 'tacos', 'friendly', 'staff']",hole wall great mexican street taco friendly staff
took hour get food 4 tables restaurant food luke warm sever running around like totally overwhelmed,negative,"['took', 'hour', 'get', 'food', '4', 'tables', 'restaurant', 'food', 'luke', 'warm', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed']",took hour get food 4 table restaurant food luke warm sever running around like totally overwhelmed
worst salmon sashimi,negative,"['worst', 'salmon', 'sashimi']",worst salmon sashimi
also combos like burger fries beer 23 decent deal,positive,"['also', 'combos', 'like', 'burger', 'fries', 'beer', '23', 'decent', 'deal']",also combo like burger fry beer 23 decent deal
like final blow,negative,"['like', 'final', 'blow']",like final blow
found place accident could not happier,positive,"['found', 'place', 'accident', 'could', 'not', 'happier']",found place accident could not happier
seems like good quick place grab bite familiar pub food favor look elsewhere,negative,"['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere']",seems like good quick place grab bite familiar pub food favor look elsewhere
overall like place lot,positive,"['overall', 'like', 'place', 'lot']",overall like place lot
redeeming quality restaurant inexpensive,positive,"['redeeming', 'quality', 'restaurant', 'inexpensive']",redeeming quality restaurant inexpensive
ample portions good prices,positive,"['ample', 'portions', 'good', 'prices']",ample portion good price
poor service waiter made feel like stupid every time came table,negative,"['poor', 'service', 'waiter', 'made', 'feel', 'like', 'stupid', 'every', 'time', 'came', 'table']",poor service waiter made feel like stupid every time came table
first visit hiro delight,positive,"['first', 'visit', 'hiro', 'delight']",first visit hiro delight
service sucks,negative,"['service', 'sucks']",service suck
shrimp tender moist,positive,"['shrimp', 'tender', 'moist']",shrimp tender moist
not deal good enough would drag establishment,negative,"['not', 'deal', 'good', 'enough', 'would', 'drag', 'establishment']",not deal good enough would drag establishment
hard judge whether sides good grossed melted styrofoam not want eat fear getting sick,negative,"['hard', 'judge', 'whether', 'sides', 'good', 'grossed', 'melted', 'styrofoam', 'not', 'want', 'eat', 'fear', 'getting', 'sick']",hard judge whether side good grossed melted styrofoam not want eat fear getting sick
positive note server attentive provided great service,positive,"['positive', 'note', 'server', 'attentive', 'provided', 'great', 'service']",positive note server attentive provided great service
frozen pucks disgust worst people behind register,negative,"['frozen', 'pucks', 'disgust', 'worst', 'people', 'behind', 'register']",frozen puck disgust worst people behind register
thing like prime rib dessert section,positive,"['thing', 'like', 'prime', 'rib', 'dessert', 'section']",thing like prime rib dessert section
bad food damn generic,negative,"['bad', 'food', 'damn', 'generic']",bad food damn generic
burger good beef cooked right,positive,"['burger', 'good', 'beef', 'cooked', 'right']",burger good beef cooked right
want sandwich go firehouse,positive,"['want', 'sandwich', 'go', 'firehouse']",want sandwich go firehouse
side greek salad greek dressing tasty pita hummus refreshing,positive,"['side', 'greek', 'salad', 'greek', 'dressing', 'tasty', 'pita', 'hummus', 'refreshing']",side greek salad greek dressing tasty pita hummus refreshing
ordered duck rare pink tender inside nice char outside,positive,"['ordered', 'duck', 'rare', 'pink', 'tender', 'inside', 'nice', 'char', 'outside']",ordered duck rare pink tender inside nice char outside
came running us realized husband left sunglasses table,positive,"['came', 'running', 'us', 'realized', 'husband', 'left', 'sunglasses', 'table']",came running u realized husband left sunglass table
chow mein good,positive,"['chow', 'mein', 'good']",chow mein good
horrible attitudes towards customers talk one customers not enjoy food,negative,"['horrible', 'attitudes', 'towards', 'customers', 'talk', 'one', 'customers', 'not', 'enjoy', 'food']",horrible attitude towards customer talk one customer not enjoy food
portion huge,positive,"['portion', 'huge']",portion huge
loved itfriendly servers great food wonderful imaginative menu,positive,"['loved', 'itfriendly', 'servers', 'great', 'food', 'wonderful', 'imaginative', 'menu']",loved itfriendly server great food wonderful imaginative menu
heart attack grill downtown vegas absolutely flatlined excuse restaurant,negative,"['heart', 'attack', 'grill', 'downtown', 'vegas', 'absolutely', 'flatlined', 'excuse', 'restaurant']",heart attack grill downtown vega absolutely flatlined excuse restaurant
not much seafood like 5 strings pasta bottom,negative,"['not', 'much', 'seafood', 'like', '5', 'strings', 'pasta', 'bottom']",not much seafood like 5 string pasta bottom
salad right amount sauce not power scallop perfectly cooked,positive,"['salad', 'right', 'amount', 'sauce', 'not', 'power', 'scallop', 'perfectly', 'cooked']",salad right amount sauce not power scallop perfectly cooked
ripped banana not ripped petrified tasteless,negative,"['ripped', 'banana', 'not', 'ripped', 'petrified', 'tasteless']",ripped banana not ripped petrified tasteless
least think refill water struggle wave 10 minutes,negative,"['least', 'think', 'refill', 'water', 'struggle', 'wave', '10', 'minutes']",least think refill water struggle wave 10 minute
place receives stars appetizers,positive,"['place', 'receives', 'stars', 'appetizers']",place receives star appetizer
cocktails handmade delicious,positive,"['cocktails', 'handmade', 'delicious']",cocktail handmade delicious
wed definitely go back,positive,"['wed', 'definitely', 'go', 'back']",wed definitely go back
glad found place,positive,"['glad', 'found', 'place']",glad found place
great food service huge portions give military discount,positive,"['great', 'food', 'service', 'huge', 'portions', 'give', 'military', 'discount']",great food service huge portion give military discount
always great time dos gringos,positive,"['always', 'great', 'time', 'dos', 'gringos']",always great time do gringo
updatewent back second time still amazing,positive,"['updatewent', 'back', 'second', 'time', 'still', 'amazing']",updatewent back second time still amazing
got food apparently never heard salt batter fish chewy,negative,"['got', 'food', 'apparently', 'never', 'heard', 'salt', 'batter', 'fish', 'chewy']",got food apparently never heard salt batter fish chewy
great way finish great,positive,"['great', 'way', 'finish', 'great']",great way finish great
deal included 5 tastings 2 drinks jeff went beyond expected,positive,"['deal', 'included', '5', 'tastings', '2', 'drinks', 'jeff', 'went', 'beyond', 'expected']",deal included 5 tasting 2 drink jeff went beyond expected
really really good rice time,positive,"['really', 'really', 'good', 'rice', 'time']",really really good rice time
service meh,negative,"['service', 'meh']",service meh
took 30 min get milkshake nothing chocolate milk,negative,"['took', '30', 'min', 'get', 'milkshake', 'nothing', 'chocolate', 'milk']",took 30 min get milkshake nothing chocolate milk
guess known place would suck inside excalibur not use common sense,negative,"['guess', 'known', 'place', 'would', 'suck', 'inside', 'excalibur', 'not', 'use', 'common', 'sense']",guess known place would suck inside excalibur not use common sense
scallop dish quite appalling value well,negative,"['scallop', 'dish', 'quite', 'appalling', 'value', 'well']",scallop dish quite appalling value well
2 times bad customer service,negative,"['2', 'times', 'bad', 'customer', 'service']",2 time bad customer service
sweet potato fries good seasoned well,positive,"['sweet', 'potato', 'fries', 'good', 'seasoned', 'well']",sweet potato fry good seasoned well
today second time lunch buffet pretty good,positive,"['today', 'second', 'time', 'lunch', 'buffet', 'pretty', 'good']",today second time lunch buffet pretty good
much good food vegas feel cheated wasting eating opportunity going rice company,negative,"['much', 'good', 'food', 'vegas', 'feel', 'cheated', 'wasting', 'eating', 'opportunity', 'going', 'rice', 'company']",much good food vega feel cheated wasting eating opportunity going rice company
coming like experiencing underwhelming relationship parties cannot wait person ask break,negative,"['coming', 'like', 'experiencing', 'underwhelming', 'relationship', 'parties', 'can', 'not', 'wait', 'person', 'ask', 'break']",coming like experiencing underwhelming relationship party can not wait person ask break
walked place smelled like old grease trap 2 others eating,negative,"['walked', 'place', 'smelled', 'like', 'old', 'grease', 'trap', '2', 'others', 'eating']",walked place smelled like old grease trap 2 others eating
turkey roast beef bland,negative,"['turkey', 'roast', 'beef', 'bland']",turkey roast beef bland
place,positive,['place'],place
pan cakes everyone raving taste like sugary disaster tailored palate six year old,negative,"['pan', 'cakes', 'everyone', 'raving', 'taste', 'like', 'sugary', 'disaster', 'tailored', 'palate', 'six', 'year', 'old']",pan cake everyone raving taste like sugary disaster tailored palate six year old
love pho spring rolls oh yummy try,positive,"['love', 'pho', 'spring', 'rolls', 'oh', 'yummy', 'try']",love pho spring roll oh yummy try
poor batter meat ratio made chicken tenders unsatisfying,negative,"['poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tenders', 'unsatisfying']",poor batter meat ratio made chicken tender unsatisfying
say food amazing,positive,"['say', 'food', 'amazing']",say food amazing
omelets die,positive,"['omelets', 'die']",omelet die
everything fresh delicious,positive,"['everything', 'fresh', 'delicious']",everything fresh delicious
summary largely disappointing dining experience,negative,"['summary', 'largely', 'disappointing', 'dining', 'experience']",summary largely disappointing dining experience
like really sexy party mouth outrageously flirting hottest person party,positive,"['like', 'really', 'sexy', 'party', 'mouth', 'outrageously', 'flirting', 'hottest', 'person', 'party']",like really sexy party mouth outrageously flirting hottest person party
never hard rock casino never ever step forward,negative,"['never', 'hard', 'rock', 'casino', 'never', 'ever', 'step', 'forward']",never hard rock casino never ever step forward
best breakfast buffet,positive,"['best', 'breakfast', 'buffet']",best breakfast buffet
say bye bye tip lady,negative,"['say', 'bye', 'bye', 'tip', 'lady']",say bye bye tip lady
well never go,negative,"['well', 'never', 'go']",well never go
back,positive,['back'],back
food arrived quickly,positive,"['food', 'arrived', 'quickly']",food arrived quickly
not good,negative,"['not', 'good']",not good
side cafe serves really good food,positive,"['side', 'cafe', 'serves', 'really', 'good', 'food']",side cafe serf really good food
server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go,positive,"['server', 'fantastic', 'found', 'wife', 'loves', 'roasted', 'garlic', 'bone', 'marrow', 'added', 'extra', 'meal', 'another', 'marrow', 'go']",server fantastic found wife love roasted garlic bone marrow added extra meal another marrow go
good thing waiter helpful kept bloddy marys coming,positive,"['good', 'thing', 'waiter', 'helpful', 'kept', 'bloddy', 'marys', 'coming']",good thing waiter helpful kept bloddy mary coming
best buffet town price cannot beat,positive,"['best', 'buffet', 'town', 'price', 'can', 'not', 'beat']",best buffet town price can not beat
loved mussels cooked wine reduction duck tender potato dishes delicious,positive,"['loved', 'mussels', 'cooked', 'wine', 'reduction', 'duck', 'tender', 'potato', 'dishes', 'delicious']",loved mussel cooked wine reduction duck tender potato dish delicious
one better buffets,positive,"['one', 'better', 'buffets']",one better buffet
went tigerlilly fantastic afternoon,positive,"['went', 'tigerlilly', 'fantastic', 'afternoon']",went tigerlilly fantastic afternoon
food delicious bartender attentive personable got great deal,positive,"['food', 'delicious', 'bartender', 'attentive', 'personable', 'got', 'great', 'deal']",food delicious bartender attentive personable got great deal
ambience wonderful music playing,positive,"['ambience', 'wonderful', 'music', 'playing']",ambience wonderful music playing
go back next trip,positive,"['go', 'back', 'next', 'trip']",go back next trip
sooooo good,positive,"['sooooo', 'good']",sooooo good
real sushi lovers let us honest yama not good,negative,"['real', 'sushi', 'lovers', 'let', 'us', 'honest', 'yama', 'not', 'good']",real sushi lover let u honest yama not good
least 40min passed us ordering food arriving not busy,negative,"['least', '40min', 'passed', 'us', 'ordering', 'food', 'arriving', 'not', 'busy']",least 40min passed u ordering food arriving not busy
really fantastic thai restaurant definitely worth visit,positive,"['really', 'fantastic', 'thai', 'restaurant', 'definitely', 'worth', 'visit']",really fantastic thai restaurant definitely worth visit
nice spicy tender,positive,"['nice', 'spicy', 'tender']",nice spicy tender
good prices,positive,"['good', 'prices']",good price
check,positive,['check'],check
pretty gross,negative,"['pretty', 'gross']",pretty gross
better atmosphere,negative,"['better', 'atmosphere']",better atmosphere
kind hard mess steak,negative,"['kind', 'hard', 'mess', 'steak']",kind hard mess steak
although much liked look sound place actual experience bit disappointing,negative,"['although', 'much', 'liked', 'look', 'sound', 'place', 'actual', 'experience', 'bit', 'disappointing']",although much liked look sound place actual experience bit disappointing
not know place managed served blandest food ever eaten preparing indian cuisine,negative,"['not', 'know', 'place', 'managed', 'served', 'blandest', 'food', 'ever', 'eaten', 'preparing', 'indian', 'cuisine']",not know place managed served blandest food ever eaten preparing indian cuisine
worst service boot least worries,negative,"['worst', 'service', 'boot', 'least', 'worries']",worst service boot least worry
service fine waitress friendly,positive,"['service', 'fine', 'waitress', 'friendly']",service fine waitress friendly
guys steaks steak loving son steak best worst places said best steak hes ever eaten,positive,"['guys', 'steaks', 'steak', 'loving', 'son', 'steak', 'best', 'worst', 'places', 'said', 'best', 'steak', 'hes', 'ever', 'eaten']",guy steak steak loving son steak best worst place said best steak he ever eaten
thought would venture away get good sushi place really hit spot night,positive,"['thought', 'would', 'venture', 'away', 'get', 'good', 'sushi', 'place', 'really', 'hit', 'spot', 'night']",thought would venture away get good sushi place really hit spot night
host staff lack better word bitches,negative,"['host', 'staff', 'lack', 'better', 'word', 'bitches']",host staff lack better word bitch
bland not liking place number reasons not want waste time bad reviewing ill leave,negative,"['bland', 'not', 'liking', 'place', 'number', 'reasons', 'not', 'want', 'waste', 'time', 'bad', 'reviewing', 'ill', 'leave']",bland not liking place number reason not want waste time bad reviewing ill leave
phenomenal food service ambiance,positive,"['phenomenal', 'food', 'service', 'ambiance']",phenomenal food service ambiance
would not return,negative,"['would', 'not', 'return']",would not return
definitely worth venturing strip pork belly return next time vegas,positive,"['definitely', 'worth', 'venturing', 'strip', 'pork', 'belly', 'return', 'next', 'time', 'vegas']",definitely worth venturing strip pork belly return next time vega
place way overpriced mediocre food,negative,"['place', 'way', 'overpriced', 'mediocre', 'food']",place way overpriced mediocre food
penne vodka excellent,positive,"['penne', 'vodka', 'excellent']",penne vodka excellent
good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burgers,positive,"['good', 'selection', 'food', 'including', 'massive', 'meatloaf', 'sandwich', 'crispy', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasty', 'burgers']",good selection food including massive meatloaf sandwich crispy chicken wrap delish tuna melt tasty burger
management rude,negative,"['management', 'rude']",management rude
delicious nyc bagels good selections cream cheese real lox capers even,positive,"['delicious', 'nyc', 'bagels', 'good', 'selections', 'cream', 'cheese', 'real', 'lox', 'capers', 'even']",delicious nyc bagel good selection cream cheese real lox caper even
great subway fact good come every subway not meet expectations,positive,"['great', 'subway', 'fact', 'good', 'come', 'every', 'subway', 'not', 'meet', 'expectations']",great subway fact good come every subway not meet expectation
seriously solid breakfast,positive,"['seriously', 'solid', 'breakfast']",seriously solid breakfast
one best bars food vegas,positive,"['one', 'best', 'bars', 'food', 'vegas']",one best bar food vega
extremely rude really many restaurants would love dine weekend vegas,negative,"['extremely', 'rude', 'really', 'many', 'restaurants', 'would', 'love', 'dine', 'weekend', 'vegas']",extremely rude really many restaurant would love dine weekend vega
drink never empty made really great menu suggestions,positive,"['drink', 'never', 'empty', 'made', 'really', 'great', 'menu', 'suggestions']",drink never empty made really great menu suggestion
not,negative,['not'],not
waiter not helpful friendly rarely checked us,negative,"['waiter', 'not', 'helpful', 'friendly', 'rarely', 'checked', 'us']",waiter not helpful friendly rarely checked u
husband ate lunch disappointed food service,negative,"['husband', 'ate', 'lunch', 'disappointed', 'food', 'service']",husband ate lunch disappointed food service
red curry much bamboo shoots not tasty,negative,"['red', 'curry', 'much', 'bamboo', 'shoots', 'not', 'tasty']",red curry much bamboo shoot not tasty
nice blanket moz top feel like done cover subpar food,positive,"['nice', 'blanket', 'moz', 'top', 'feel', 'like', 'done', 'cover', 'subpar', 'food']",nice blanket moz top feel like done cover subpar food
bathrooms clean place well decorated,positive,"['bathrooms', 'clean', 'place', 'well', 'decorated']",bathroom clean place well decorated
