review,sentiment,tokenized_review,lemmatized_review,review_vector,predicted_sentiment,reason
not think ill running back carlys anytime soon food,negative,"['not', 'think', 'ill', 'running', 'back', 'carlys', 'anytime', 'soon', 'food']",not think ill running back carlys anytime soon food,"[ 0.00091279  0.00079007  0.00133439  0.00297849  0.00153984 -0.00820943
  0.00284115  0.00319207 -0.00101927  0.00070316  0.00199427 -0.00257537
 -0.00287251  0.00531521  0.00315204 -0.00170452  0.0010103  -0.00126861
 -0.00212006 -0.00443901  0.00248319  0.00119042  0.00657528 -0.00087333
  0.00044664 -0.0008587  -0.0015439  -0.00030494 -0.00517713  0.00173294
  0.00360927  0.00032828  0.00300236 -0.0006978   0.00135013  0.00288272
 -0.0015849  -0.00292874 -0.00158307 -0.00218562  0.00102641  0.00080137
 -0.00075966  0.00119907  0.00150971  0.00344908 -0.00176618  0.00091918
  0.00036112  0.00023577  0.00081507 -0.00437788 -0.00585072  0.0021485
 -0.00105485 -0.00035158  0.00214838  0.00217305 -0.00533571  0.00054605
  0.00174106  0.00144753 -0.00074086  0.00061549 -0.00416228  0.00322437
  0.00206086  0.00259224 -0.00199124  0.00511092 -0.0026575  -0.00011386
  0.00242325 -0.00051919  0.00685417  0.00042783  0.00145355 -0.00095276
 -0.00388326  0.00053937 -0.00112945 -0.00067782 -0.00115742  0.00178544
 -0.00114768  0.00184718  0.00192184 -0.00072672  0.00160397 -0.00018114
  0.00121193 -0.00036478 -0.00137079  0.00033224  0.00348607  0.00264225
  0.00222187 -0.00429722 -0.00146008  0.00036865]",positive,Failed to capture intensity of negative sentiment.
never bland food surprised considering article read focused much spices flavor,negative,"['never', 'bland', 'food', 'surprised', 'considering', 'article', 'read', 'focused', 'much', 'spices', 'flavor']",never bland food surprised considering article read focused much spice flavor,"[-2.97371903e-03  5.01464710e-05  2.34704837e-03  1.63648452e-03
  1.82645314e-03 -3.24654859e-03  1.76169386e-03  1.78692234e-03
 -9.88116371e-04 -3.56106739e-03 -1.42167066e-03  1.86267673e-04
 -2.76824896e-04  9.90314642e-04  4.60089155e-04  3.90431262e-04
 -1.27692998e-03 -1.13346323e-03  8.51487974e-04 -4.50172200e-04
 -8.69779789e-04  3.41899809e-04  1.49469415e-03 -6.83959079e-05
  1.17289345e-03 -1.90748565e-03 -7.38794159e-04 -1.14824899e-04
 -5.69329539e-04 -2.09134654e-03  6.75390998e-04  9.23893185e-06
  5.37680462e-04 -2.11627921e-03  8.77182407e-04  2.05768622e-03
 -4.59840783e-04 -3.46565712e-03 -1.53423520e-03 -1.07260700e-03
  6.87413441e-04 -3.50512128e-04 -1.06495048e-03 -3.17836275e-05
  1.68055331e-03  1.77946160e-04  4.97715700e-06 -2.17246450e-03
  2.40849308e-03 -2.40578037e-03  2.27242359e-03  5.96036611e-04
  8.94883298e-04  3.51599953e-03 -2.87840376e-03 -1.06827077e-03
 -1.37647785e-05  1.64879777e-03 -9.07336129e-04  3.04515264e-03
 -9.21608706e-04  2.88567343e-03 -2.51465058e-03 -2.90556374e-04
 -2.46167387e-04 -8.05135642e-05  3.65986605e-03  7.07731349e-04
  1.16203830e-03  3.50343459e-03 -2.99256761e-03  1.97566464e-03
 -1.25697860e-03  7.94109132e-04 -5.26091782e-04  1.40285504e-03
 -6.79505698e-04 -2.84788175e-03  1.09643886e-04 -1.88283168e-03
 -4.38270438e-03  1.03325304e-03 -3.08846915e-03  2.46996456e-03
 -1.58590893e-03 -2.08977726e-03 -9.64437029e-04  4.12395410e-03
  2.24989257e-03  2.79967766e-03  9.12358577e-04  1.57895545e-03
  6.59400830e-04 -1.98056852e-03 -1.43962810e-04  3.00423126e-03
  2.24847230e-03  7.78305111e-04  2.88087700e-04 -1.99890882e-03]",positive,Failed to capture intensity of negative sentiment.
possible give zero stars would,negative,"['possible', 'give', 'zero', 'stars', 'would']",possible give zero star would,"[ 8.2002423e-04  9.2774819e-05 -7.8945328e-04  2.7655344e-03
 -1.3469704e-04 -1.8851405e-03  4.2746370e-04  4.9553430e-03
 -7.3940763e-03 -3.1182026e-03  1.3930976e-03 -3.7954405e-03
  1.8484306e-03  6.5349892e-04  1.2625682e-03  6.9609255e-04
 -1.0501930e-03 -2.8567936e-03 -2.4856287e-03 -2.4145469e-03
  2.7665519e-03 -5.1310337e-03  1.0931246e-03 -7.1652881e-03
 -2.9441793e-03 -3.4089074e-03 -4.9311928e-03  3.8600122e-03
 -2.7592089e-03 -4.9642851e-03  3.6085504e-03  1.5330847e-03
  5.2291376e-04  1.5908160e-04  2.8744799e-03  2.1329010e-03
 -5.6818110e-04 -1.8641718e-03 -4.8798309e-03 -3.3473962e-03
  1.3830680e-03 -2.7916941e-03 -2.7259814e-03 -5.0408393e-04
  1.2048390e-03 -5.2293437e-03  2.5792900e-03  2.5909450e-03
 -5.6160716e-03  7.8183934e-03  3.5410661e-03 -3.6795787e-03
 -1.7816306e-03  7.3168240e-04 -1.2168477e-03  8.2085794e-04
 -7.9445855e-04  9.1246609e-04 -6.6343984e-03 -3.5001251e-03
 -4.0993607e-04  1.6163053e-03 -1.5174075e-03  1.8637821e-03
 -2.8883431e-03  7.1517873e-04  4.9479287e-03  3.7428825e-03
 -4.0650452e-03  5.6572114e-03 -2.6638154e-03 -9.1629679e-04
 -6.6259212e-04  1.7138235e-03  3.0249543e-05  7.5361789e-03
 -1.1119553e-03  2.9888630e-03 -1.3577022e-03 -2.1479228e-03
  1.4118660e-03 -9.0440863e-04 -6.5213963e-03  3.0337765e-03
 -4.7519432e-05  3.1493250e-03 -2.0046572e-03 -1.6897693e-03
  3.9298311e-03 -9.2289411e-05  1.1687769e-03  1.8307469e-04
 -4.9423329e-03  4.0854421e-03  4.8297821e-03 -2.1335476e-03
 -3.1582352e-03  6.7551527e-04  2.2841238e-03 -3.9834375e-03]",positive,Failed to capture intensity of negative sentiment.
say bye bye tip lady,negative,"['say', 'bye', 'bye', 'tip', 'lady']",say bye bye tip lady,"[ 2.7740290e-03 -2.4822615e-03  1.0849094e-03 -3.3233655e-03
 -3.1840415e-03 -5.2978692e-04 -4.6462407e-03  5.1756203e-03
  6.2954612e-05 -1.1742298e-03  4.9851497e-04  1.9366548e-03
  3.0032917e-05 -1.9160990e-03 -2.8797686e-03  7.7688077e-04
 -1.2949305e-03 -4.6165339e-03  3.8321665e-03 -3.6856686e-03
 -3.5531272e-03 -1.3438426e-03  4.1786497e-03 -5.8338040e-04
 -1.8231350e-03 -1.9626238e-03 -6.0544861e-03 -5.3035924e-03
 -2.0313123e-03 -1.9355187e-03  1.2440649e-03  2.3760197e-03
  1.4650046e-03 -3.1259679e-03 -3.9200718e-03  9.9391525e-04
 -1.1835519e-03 -2.0376719e-03  7.8419540e-03 -4.1357125e-03
 -1.3102873e-03  3.0829611e-03  1.3946821e-03 -2.0644632e-03
  1.0133954e-03  1.2939305e-03 -3.6412352e-03 -7.0484728e-04
 -3.8177957e-04 -1.4542684e-05 -6.2067306e-04 -5.6641279e-03
  2.0532352e-03  2.7805245e-03  1.9502637e-03  1.7793223e-03
  2.7530987e-03  3.3427335e-03 -1.6528340e-03  3.1957892e-03
 -4.5689708e-03 -1.0499632e-03 -6.3545420e-03  1.0340756e-03
 -2.6669777e-03 -4.5173438e-03  6.6134834e-04 -2.6898454e-03
  3.8994043e-03 -3.7251082e-03 -2.8744640e-03 -2.6111293e-03
  2.0130775e-03  7.5514708e-04 -1.3747576e-03  5.9161568e-03
  3.0201760e-03  4.4473857e-03  4.2241313e-03  2.9302000e-03
  7.6601704e-05 -4.7537079e-03 -1.5219696e-03  1.2359013e-03
  3.5743497e-03 -2.6619621e-03  1.3811700e-03  7.0722578e-03
 -4.1919737e-04 -4.5717880e-04  4.8857211e-04  4.2169318e-03
 -4.6902932e-03  8.3308545e-04 -6.8147865e-04 -1.5813882e-03
 -2.6431191e-03  4.3283044e-03  6.7552403e-03 -2.1461337e-03]",positive,Failed to capture intensity of negative sentiment.
servers suck wait correction server heimer sucked,negative,"['servers', 'suck', 'wait', 'correction', 'server', 'heimer', 'sucked']",server suck wait correction server heimer sucked,"[ 0.00292276  0.00402538 -0.00102992  0.00063113 -0.00151328 -0.00017748
  0.00066831 -0.00074725  0.00098058 -0.00142698  0.00060921  0.00126883
  0.0010623  -0.00087265  0.0015793  -0.00482039 -0.00136907  0.00049981
 -0.0005119  -0.00373388  0.00379023  0.00375412 -0.00196683 -0.00297775
  0.0007541  -0.00044188 -0.00505248  0.00129515  0.00015121  0.00141318
 -0.0005512  -0.00085383  0.00072108 -0.00189677  0.00306731  0.00437362
 -0.00201697  0.00190972 -0.00230652 -0.00062919 -0.00348344  0.00102749
 -0.0020703  -0.00347613  0.0018591  -0.00657297 -0.00387517  0.00057171
  0.00151223 -0.00229687  0.00055453 -0.00110112  0.00150172 -0.00218015
 -0.00059266 -0.00216906  0.00288884  0.00109837 -0.00123202  0.00302285
  0.00112649 -0.00314088 -0.00206431  0.00144779 -0.00126539 -0.00302499
 -0.00156323 -0.00093352 -0.00106549 -0.00161703 -0.00295675  0.00263572
  0.00117063 -0.00083814  0.00278757 -0.00253928 -0.001007   -0.0018864
 -0.00502136  0.00365757 -0.00113577 -0.0012965  -0.00193817  0.00467945
 -0.00068851 -0.00079206 -0.00079048  0.003522    0.0014039   0.00508237
  0.00393675  0.00012656  0.00277244  0.00022351  0.00087172  0.00296006
  0.00182037 -0.00071378  0.00118972 -0.00356384]",positive,Failed to capture intensity of negative sentiment.
places eat no circumstances would ever return tops list,negative,"['places', 'eat', 'no', 'circumstances', 'would', 'ever', 'return', 'tops', 'list']",place eat no circumstance would ever return top list,"[-2.6048170e-03  3.9226022e-03 -2.3396434e-03  2.5564686e-03
  1.6094113e-03 -5.2530705e-03 -1.2117904e-05  1.8163251e-03
 -1.9830214e-03 -2.0767311e-03  1.0237191e-04 -2.5422559e-03
 -7.4178301e-04  2.4111369e-03  4.0344778e-03 -1.3788390e-03
 -2.1183783e-04 -6.2549103e-04  1.5039705e-03 -2.3452761e-03
  1.6791419e-03 -2.0439690e-03 -9.6534481e-05 -2.0299384e-03
 -2.7080388e-03 -6.9401949e-04 -3.9810035e-03  1.7704985e-03
  9.1862428e-05  1.0142244e-03  4.1305330e-03 -4.4243416e-04
 -1.5643067e-03 -8.5954653e-04 -7.3871709e-04  2.4672778e-04
 -2.1926106e-03  9.0924121e-04 -1.9049379e-03 -6.7212624e-03
 -2.8883715e-03 -4.5819599e-03  7.2979060e-04 -7.3374598e-04
 -1.6975758e-03  1.2490520e-03 -2.2774825e-03 -2.5893652e-03
  4.6286811e-03  4.0500322e-03  1.1704913e-03 -3.4314971e-03
 -3.7054706e-03  8.1211049e-04 -9.9447032e-04  2.5485589e-03
  1.8634631e-03  1.7461306e-03 -1.8585902e-03  1.7186502e-03
  2.6190048e-03  8.5523032e-04  3.9170957e-03  3.6370095e-03
 -2.3393037e-03  2.2326382e-03  1.2246934e-03  2.3423319e-03
 -2.6064876e-03  1.0543170e-03 -2.1881422e-03  5.0065350e-03
  2.6233685e-03  4.4534134e-04  3.0660885e-03  1.5341160e-03
 -2.6856568e-03  9.5370825e-04 -3.8432267e-03 -2.9909937e-03
 -8.0836011e-04 -7.3940068e-04  1.1087208e-03  6.0071331e-03
  2.6696287e-03  2.0355205e-03  8.4800099e-04  6.4281124e-04
  2.2575350e-03 -1.4723785e-03  1.7418371e-03  3.3118362e-03
 -3.1661792e-04  1.8536190e-04  3.1005340e-03 -2.2484382e-04
 -1.8045385e-03 -3.0896696e-03 -2.2157722e-03  5.2357314e-04]",positive,Failed to capture intensity of negative sentiment.
mistake,negative,['mistake'],mistake,"[ 6.4861439e-03  7.3225736e-03 -8.5519766e-03 -1.5668046e-03
  2.8453649e-03  9.2713460e-03  5.1210524e-04 -3.2409800e-03
 -6.2725664e-04  2.5044382e-03  9.8892106e-03 -4.5384918e-03
 -7.7534900e-03  1.4948297e-03  2.0472740e-03  4.8024929e-03
  2.9045688e-03 -8.2166679e-03 -6.9735372e-03 -6.2465048e-03
  9.7103883e-03  9.7764016e-04  9.7666839e-03  1.9804644e-03
 -2.2300219e-03 -3.7484884e-03  9.0526817e-03 -7.5889039e-03
  2.0121848e-03  3.6549938e-03 -4.3438268e-03 -7.0691107e-07
  4.6154629e-03  2.6163745e-03  6.7324019e-03  8.1225643e-03
  6.0970606e-03 -3.4152342e-03 -3.6016142e-03 -6.4119818e-03
  8.5136453e-03 -6.8674730e-03 -6.7172898e-03 -7.5980448e-03
 -4.7225915e-03  2.3533583e-03  9.8042497e-03  6.2766122e-03
  4.0095057e-03 -5.5131470e-03 -6.5436065e-03  2.7888357e-03
  7.4478174e-03  4.4393349e-03 -6.7632962e-03 -9.5608393e-03
 -6.1958372e-03 -5.1357113e-03  1.1416733e-03  4.7414922e-03
  5.2551879e-03  8.7037329e-03 -5.6682824e-04 -2.0182121e-03
 -8.9428332e-03  1.5543783e-03 -8.2817320e-03  4.3849312e-03
  7.5349249e-03  9.9353795e-04  6.3872552e-03 -6.0849893e-03
 -3.0389703e-03  4.1323304e-04 -9.4170896e-03 -5.6919409e-03
 -8.9898873e-03  8.6213602e-03  3.5023927e-03 -8.8765444e-03
 -1.5430760e-03  5.2242614e-03 -5.0030435e-03 -6.5667476e-03
 -4.5651686e-03  2.0495879e-03  2.8929519e-03  1.5550590e-03
 -8.3904350e-03  2.4785185e-03  9.0227993e-03 -3.4982360e-03
 -9.9464385e-03  9.1559663e-03 -4.6608495e-03 -4.6001170e-03
  7.3046563e-03 -1.5897751e-04  6.5860953e-03  7.4577080e-03]",positive,Short negative review misclassified.
buffet small food offered bland,negative,"['buffet', 'small', 'food', 'offered', 'bland']",buffet small food offered bland,"[-3.5944507e-03  6.9975283e-04 -1.9381410e-03  5.5658566e-03
  3.0631104e-03 -5.4914774e-03  3.8562585e-03  5.3070788e-03
 -2.1533654e-03 -4.1564484e-03  9.0746580e-05 -8.5206248e-04
 -5.5634324e-04  3.9766273e-03  1.0690142e-03  4.1591920e-04
  1.8916985e-03  1.6276147e-04  9.6762105e-04 -3.5204317e-03
 -5.7505147e-04 -1.0602938e-03  7.5982942e-04 -8.4081927e-04
  1.2366772e-03 -7.2810438e-04 -3.9026039e-04 -1.9998397e-03
 -1.4798045e-04  2.9677085e-03  7.3966535e-04  2.5828220e-03
 -8.5321895e-04 -3.3212050e-03  1.2340720e-03  1.5623362e-03
  9.4530935e-04  2.0001261e-03  8.9439272e-04 -3.2098691e-03
  4.0145107e-03 -6.1085694e-03 -7.9407962e-04 -8.6961000e-04
  1.4487391e-03  2.6254606e-04 -9.8563277e-04  5.9167919e-04
 -2.6622060e-04  3.5703848e-03  3.0796290e-03 -2.3571821e-04
 -1.2286601e-03  5.8655823e-03 -4.0716655e-03  1.0616264e-03
 -2.7594867e-03 -3.6669031e-03 -5.1886868e-03  3.4777746e-03
  7.3685310e-06  5.2896143e-05 -1.2772921e-03 -2.1021699e-03
 -2.2103987e-03  5.7768810e-04  5.9829345e-03  1.1292147e-03
 -2.0566755e-03  5.7780100e-03 -3.4436379e-03 -2.0025701e-03
  4.1340319e-03 -3.3845014e-03 -3.5652480e-04 -2.4445981e-03
 -2.2920154e-03  4.6439134e-04 -1.5115890e-03  2.4383001e-03
 -1.3149744e-04 -8.2576351e-04 -5.1532354e-04 -3.0302717e-03
  4.4062044e-04 -2.7564340e-03  1.1606213e-03  4.5841401e-03
  4.4133347e-03  1.7451328e-04  3.2667681e-03 -3.9041918e-04
  1.0020932e-03  2.1451905e-03  4.7127409e-03  3.0705512e-03
  8.8384317e-04 -1.3709094e-03 -1.1159300e-03  3.1266778e-03]",positive,Failed to capture intensity of negative sentiment.
beans rice mediocre best,negative,"['beans', 'rice', 'mediocre', 'best']",bean rice mediocre best,"[-4.8520756e-03 -1.5184915e-03  3.1313417e-03 -1.2125198e-03
  1.4174082e-03  4.3963498e-04 -3.7011486e-03  4.3196362e-03
 -1.6304541e-03 -1.5898421e-03  8.5482642e-04 -1.2605577e-03
 -6.4719040e-03 -2.3727359e-03  4.5103682e-03 -1.6686517e-03
  3.0996357e-03 -1.2126481e-03  2.2733943e-03 -1.4029662e-03
 -2.1129386e-03 -7.0704229e-04  1.8363376e-03  3.0735079e-03
 -1.5533658e-03  5.1233014e-03 -3.4224470e-03 -1.0418358e-03
 -1.9603444e-03  4.1238493e-03 -4.1456515e-04 -1.1928745e-03
 -1.9673845e-03 -3.0610778e-03 -4.0960950e-03  2.6269145e-03
  1.0498548e-03 -4.0678512e-03  1.7701795e-03 -2.4892524e-04
  1.3962653e-03  1.8333058e-03  1.8556248e-03  1.2785807e-03
 -2.1910400e-04 -3.2970372e-03  4.0190415e-03 -2.8029387e-04
 -5.0337659e-03  5.3357729e-03  1.9271115e-03 -1.6344766e-03
  3.3954631e-03 -2.7796589e-03 -1.5652239e-03 -5.0767499e-05
 -1.5859662e-03  3.6710815e-04  3.2336877e-03  1.0581635e-03
 -1.1209277e-03  3.4859702e-03  1.2806582e-03  1.5035606e-03
 -7.9902174e-04  2.2979330e-03  2.9025499e-03 -2.1478788e-03
  4.6434836e-04 -1.0202320e-03  4.8841978e-04  3.0515734e-03
 -9.0166007e-04 -3.4767399e-03 -1.1288462e-03 -3.5132084e-04
  3.1630299e-03 -4.7219358e-03  3.9395806e-04  3.5759199e-03
  2.6390825e-03  2.3219141e-04 -4.4320691e-03  6.8960553e-03
  5.3357158e-04 -2.0845593e-03 -2.3706325e-03 -5.2462274e-04
  3.3245049e-03 -9.1343635e-04  8.1531238e-05  2.1912232e-03
  5.4702663e-04 -1.6503377e-03  3.9959098e-03 -4.2749485e-03
 -9.2018489e-04  5.8869920e-03  7.7089318e-04 -6.8493746e-04]",positive,Short negative review misclassified.
hell no go back,negative,"['hell', 'no', 'go', 'back']",hell no go back,"[ 1.8564019e-03  1.3805720e-03  9.1395527e-04  2.8006376e-03
  4.5751394e-03 -7.1041280e-04  2.7997992e-03  4.0086317e-03
 -4.6963813e-03 -1.0366626e-03  6.7121937e-04 -5.0387857e-03
  2.0437138e-03  5.7893703e-03  3.5196857e-03 -2.3623072e-03
  4.0214323e-04  2.9693590e-04  1.6201184e-03 -2.1424734e-03
  2.4857461e-03 -5.3327548e-04  6.8112817e-03 -4.7065960e-03
  3.4947412e-03  1.5957637e-03 -3.9821719e-03 -3.6200094e-03
 -6.5566815e-04 -2.0499155e-03  4.6702800e-03  3.3600153e-03
  2.9101164e-05  3.2510424e-03 -2.1791267e-03  4.6531257e-04
 -4.7286891e-04  2.0590308e-03  2.5801379e-03 -8.5108196e-03
  1.6646807e-03 -1.3993101e-03  4.3545356e-03 -1.0284767e-03
 -6.5389299e-04  3.5350097e-03 -3.9768610e-03 -1.1433278e-03
 -2.8911157e-04 -6.8056479e-04  1.7129029e-03 -5.9064627e-03
 -1.8376739e-03  1.4675487e-03  1.0205864e-03  1.9423065e-03
 -2.4224266e-03 -2.7134165e-04  3.2018740e-03 -4.4005993e-03
 -2.8115411e-03 -1.3088399e-03  7.0726597e-03  1.8847545e-03
 -7.9857344e-03  7.2461255e-03  1.6025337e-03  1.9362126e-03
 -5.3425436e-03  3.2599160e-04 -7.2872813e-04  2.6267380e-03
  3.4073121e-03  4.5325416e-03  4.9835686e-03 -5.8002057e-03
  4.8093661e-04 -5.0064595e-04 -6.1767632e-03 -2.9438559e-04
 -1.9147700e-03 -1.3581550e-03 -4.3417048e-04  4.9051573e-03
  4.3693022e-03 -3.0973800e-03  5.5513945e-03 -2.5740673e-03
 -5.5780663e-04 -2.6421754e-03  3.0939658e-03  1.7347650e-03
 -3.2123865e-04  4.5541823e-03  5.3892322e-03  1.6230923e-03
  5.7073594e-03 -2.7503641e-03  1.3589064e-03  1.9525605e-03]",positive,Short negative review misclassified.
